r,z,n,t,tvar,vr,vz,vrvar,vzvar,vrvzcov
0.00015,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.015,28.0,0.0047085570489336865,6.075304650198012e-7,3.8306070531790737,0.0003294109074152285,43.376057583835156,9.386320956304756,-11.554447090154584
0.00015,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.023,23.0,0.005822400982766928,3.07757870713094e-10,-5.698329460283339,12.953803730481965,34.299043957890596,174.0200488152308,-71.96666698781169
0.00015,0.025,8.0,0.004339071377792661,1.4629848818438547e-9,2.491682134503163,-2.058173119634274,7.022325593836641,7.349234475574098,-5.054542184978957
0.00015,0.027,90.0,0.0035187364984208625,1.8103674204192794e-6,-4.491360340116321,0.012698699413018044,45.40040721621317,27.703853034849384,2.8081810558369558
0.00015,0.029,132.0,0.007060452957659203,7.042061296079643e-5,-2.890223424465193,-1.4305623533143548,55.199042738943916,29.210569388469366,12.921658110323854
0.00015,0.031,71.0,0.0018910203812041162,4.923822971441682e-6,-2.3822903968342573,-0.4249074616958806,46.29322950115857,27.516743817512747,6.808461448359202
0.00015,0.033,757.0,0.001157047959865769,3.4766609492829677e-6,0.13678544966283893,-2.6853464269386667,44.337893106390496,84.39812196057576,0.48380616188042114
0.00015,0.035,14184.0,0.00010811870136944311,4.1119652644255415e-7,-0.057224033704829536,1.3016566562506138,10.385781664911606,73.83172421337935,-0.5116406290800632
0.00015,0.037,1018.0,0.0011499187227409073,3.7495647668718294e-6,-0.8699345645079875,7.447888616521243,35.80850406841762,143.76996556043926,-7.931165293289612
0.00015,0.039,596.0,0.0021517948342013073,1.0794553929598776e-5,-0.5329034837901565,7.2322278816723875,43.28303067191556,118.53972052625267,-9.133108084451715
0.00015,0.041,475.0,0.004367502064064436,8.601491828718344e-6,-1.2975920266631287,4.075347872429003,33.314859705469715,99.88255999182367,-12.926979919616208
0.00015,0.043,370.0,0.00432813016037398,1.7314855017561943e-5,-0.7301813985363648,6.804799296227253,46.90095061916814,104.72906696439316,3.867937443056485
0.00015,0.045,503.0,0.004352695700778803,1.465300394403961e-5,-0.783854463362665,8.324447285906686,51.988151523666026,135.25322526686753,-13.345414289785454
0.00015,0.047,240.0,0.007091787180370246,1.6976317978091382e-5,-1.4049163199237642,2.9462876371377726,48.757333910953264,63.98839881219456,-21.498650714855305
0.00015,0.049,324.0,0.007483424679944439,1.691182120047585e-5,1.0475834607642565,3.713425063306428,44.75989817632522,49.39803026958685,-4.880762231883086
0.00015,0.051,316.0,0.0075155036296137845,1.7522920151868114e-5,1.1698358841120777,4.960778817111514,35.68843424105707,98.02566344696399,24.14819916783223
0.00015,0.053,444.0,0.009705870098502371,8.316098035708915e-5,0.4874138126948835,5.013108357721715,49.66841196280893,108.44315458425272,5.57597018131119
0.00015,0.055,364.0,0.011046464455258757,0.00012326349055214649,0.14725842992523802,5.837061336357714,85.85658088547123,145.02260080373574,28.1635645216894
0.00015,0.057,487.0,0.011390833080887982,0.00012378985350979503,-0.9072719695623085,7.937191635963907,47.620500469939024,121.70743514443575,0.29006573456715135
