r,z,n,t,tvar,vr,vz,vrvar,vzvar,vrvzcov,ncolls,ncollsvar,lfree,lfreevar
0.02025,0.02625,562.0,0.007874284996571177,1.9538775968866102e-5,1.753785578238672,0.7085080565274922,59.44923256307588,52.22218452780292,4.772424335751265,2255.252669039146,1.5768036870480364e6,4.05026670468647e-5,2.3785243203258326e-9
0.02025,0.02975,1274.0,0.008939393318195592,1.9216900187501082e-5,1.4501861772463702,0.06115775086745788,69.76094060184728,66.56235169832516,-5.586931922803395,2526.857927786499,1.552473941353949e6,4.270228671420541e-5,2.6894911645067784e-9
0.02025,0.03325,2072.0,0.008653946581084274,2.9911812483109904e-5,0.20541585380746671,0.7845981925477188,47.06702133080635,41.21338068966454,0.6337249433631024,2458.877413127412,2.4199054260921497e6,3.790280797205519e-5,1.9265004786794318e-9
0.02025,0.03675,2667.0,0.007655445675908329,2.124489603584877e-5,0.12428130269158447,1.137163033143032,52.045377054307735,53.386636094543476,6.194587329120406,2166.4990626171725,1.6982756748210185e6,3.881367619138989e-5,2.0701863807604018e-9
0.02025,0.04025,3821.0,0.008941971802896988,2.6562288339732866e-5,0.5077077336403317,1.3173278361161591,57.958206570823926,52.818421942909374,-1.4865934162485686,2527.27165663439,2.1436318298928067e6,3.941330178789482e-5,2.1330858079693736e-9
0.02025,0.04375,5370.0,0.008941691584641052,2.14351562198338e-5,0.674807934561052,0.568287856055129,53.23866134471026,51.65982059758917,0.7003685174728762,2532.806703910615,1.7526972021152067e6,3.8924763392544344e-5,2.2787395961773447e-9
0.02025,0.04725,5005.0,0.01049307043039195,3.571893815277018e-5,-0.5472281059437238,0.04026865392025057,54.260715677613405,57.140915045539366,0.4880409035114007,2966.095104895105,2.8311704313146984e6,3.925908186711328e-5,1.903050089394903e-9
0.02025,0.050749999999999997,5084.0,0.010794985760062457,3.541731525020982e-5,0.044668629633408244,0.7828220494479732,53.91180757373491,64.38719891976572,-3.9651264438700387,3061.032651455548,2.86345710160894e6,3.9594813891118164e-5,2.12416046226941e-9
0.02025,0.05425,3450.0,0.010340925125901592,2.6048320329355382e-5,-0.08326976476230592,1.2248828131066358,52.448886682624845,50.42930604325573,-3.2701112018244953,2920.792173913044,2.099706441735853e6,3.7677953264702504e-5,2.192781201593508e-9
0.02025,0.057749999999999996,1469.0,0.011526005561409864,2.5815989629421575e-5,0.8691441762855381,0.10476060679909269,47.46573340691548,55.668838633711104,-7.875985142555436,3269.017018379851,2.0965223666266445e6,4.003276285926699e-5,2.4334005491096117e-9
0.02025,0.06125,643.0,0.011073322691830666,3.0509774983225606e-5,-0.22487773287948984,0.42451303763742354,42.38753585524372,37.78888838125725,0.9832730511221117,3153.984447900467,2.5441278411267167e6,3.279723490431285e-5,1.2031453577020792e-9
0.02025,0.06475,2.0,0.01878697275741533,8.1686365302228e-5,-1.5284775535915438,2.0867507477973337,12.641209216454904,4.508900971741954,-1.9282820326126604,4686.0,4.888521e6,0.0012152366584605523,2.032453470262241e-7
0.02025,0.06824999999999999,2.0,0.009775032319052954,1.378767672673207e-5,3.499218834715199,4.1734159832667705,46.1152076976473,18.05190602599628,19.239546837387206,2186.0,602176.0,0.002438689323134338,4.919338610485922e-7
0.02025,0.07175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02025,0.07525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02025,0.07875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02025,0.08225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02025,0.08574999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02025,0.08925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02025,0.09275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02025,0.09625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
