r,z,n,t,tvar,vr,vz,vrvar,vzvar,vrvzcov
0.00015,0.00175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.0052499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.008749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.01225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.01575,85.0,0.014117594337166445,3.577825355143581e-5,5.027655626197193,-3.5139360986226755,36.28328492312563,58.163402503639134,-6.928471927410575
0.00015,0.01925,86.0,0.007094099012111925,6.3328629210173e-6,-0.5517157189913883,2.434709200411144,47.42368958260766,61.789022215824154,-16.192460964844393
0.00015,0.02275,267.0,0.005357477032836153,1.4689489462887047e-5,0.9691866948329892,-2.7419152925308143,77.71481632013665,98.50657880255541,8.930507031497024
0.00015,0.02625,909.0,0.004274891936178781,1.1796735893717875e-5,0.19114796364830566,-2.5653319050801713,45.486432760588905,92.02779398112244,-5.795641440453341
0.00015,0.02975,1506.0,0.0032216119120062558,1.672530968819294e-5,0.13996501746948603,-0.5562018735042895,49.93894978732089,64.01345911968097,1.6706514155652057
0.00015,0.03325,54411.0,0.000253942890692116,1.723369352053822e-6,0.03483931833774493,-5.028707208284041,13.303865040767162,74.99165608045412,-0.6426716274279333
0.00015,0.03675,93856.0,0.00021822716260273212,1.4797064604497289e-6,-0.01603444877603946,8.298344273039474,16.214757482095507,114.75620424752395,-0.5613407530495321
0.00015,0.04025,7134.0,0.0029955733930948727,1.9308851425382304e-5,-0.032884905210915985,5.727050520822307,51.463069655125395,118.69539257470089,0.27626305820664004
0.00015,0.04375,4755.0,0.005421719786987608,3.532679922876061e-5,0.17475322021228207,3.34332167190075,55.86123653501569,88.43432789605988,-10.29430975105757
0.00015,0.04725,4133.0,0.007125382469206744,5.0954564631000735e-5,-0.36235938431426096,4.931261911736992,50.65732030785467,99.56459593750108,-0.7628262393668038
0.00015,0.050749999999999997,3982.0,0.008815433979382238,4.255916321456544e-5,0.15558227436842612,4.767563263837103,56.360088462443684,88.13918602332419,2.2277327198588206
0.00015,0.05425,4821.0,0.00861346858048254,3.648046998410968e-5,-0.35786990565515464,6.842640669031178,56.969182759139095,124.68948540974242,-4.488364674548454
0.00015,0.057749999999999996,5658.0,0.009712168875246511,3.5446786515052244e-5,0.5167282097876632,8.968445610339716,53.81801236318959,150.63452371610194,5.199963778266933
0.00015,0.06125,6386.0,0.010847129370963628,5.22075097288935e-5,0.11484789922977502,13.38987890010043,76.38653262797388,236.48141386440255,1.4249131726634485
0.00015,0.06475,4519.0,0.01057234115711481,4.105012137991887e-5,-0.20772596307567803,22.39052610281126,95.53837991342138,594.1436276795018,-9.763518837621852
0.00015,0.06824999999999999,717.0,0.010242657205416653,3.446221381970965e-5,0.10892022119241969,35.31589859350022,70.25428814639486,1357.5311106410938,-1.7977115218575292
0.00015,0.07175,58.0,0.011845652939416642,4.3666359839186116e-5,-1.0822460039648987,42.65414188287175,27.761775665679107,1956.0967718142874,-53.69168708366149
0.00015,0.07525,13.0,0.008985487970351494,1.3715925827928577e-5,-0.5228082278295842,43.5052774250124,8.809143623544522,1933.5463332025197,-16.77564495454688
0.00015,0.07875,5.0,0.010844219857974331,2.6120322314668615e-6,-1.1999432743004332,43.93613549530765,4.052088396801109,2050.7659416006695,-58.38014952157875
0.00015,0.08225,4.0,0.01876335387430405,7.030879733485723e-5,0.7303501903676195,55.156442042048354,0.8713729078874581,3147.639528854286,35.96263262578581
0.00015,0.08574999999999999,3.0,0.008875065302666765,8.135509539978547e-6,-0.3270888191698059,53.37609339465956,1.6250406389286365,2939.0758983246246,-24.583992628980525
0.00015,0.08925,3.0,0.012486786803405061,3.535513758801732e-5,0.30993492658944793,64.66527176203878,0.14824229823932206,4213.212466143015,18.759059377786198
0.00015,0.09275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.09625,1.0,0.010191070657421841,0.0,-6.532697312910948,50.27121323785584,42.67613418211391,2527.194880405972,-328.4066196357141
0.00015,0.09974999999999999,1.0,0.020806658464011796,0.0,1.0216258325426912,70.94836115672655,1.043719341718547,5033.669950825304,72.4826785342803
0.00015,0.10325,3.0,0.020856325510603003,1.2490889415792654e-10,-0.11115472874265953,67.86524065889138,1.6542058608524,4611.0169003647625,-4.589263484935465
0.00015,0.10675,1.0,0.02092333340101803,0.0,-1.5133661610764833,65.1610977792998,2.290277137491372,4245.968663803468,-98.61260039778828
0.00015,0.11025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.11374999999999999,2.0,0.010474522256536821,1.1939447811846246e-5,0.8493252207420098,58.24072403339592,0.7411888301715415,3453.6647083434036,48.359192562918096
0.00015,0.11725,1.0,0.014049314574607478,0.0,1.1608898241239378,51.6608644337232,1.3476651837545073,2668.8449140395264,59.972571826555516
