r,z,n,t,tvar,vr,vz,vrvar,vzvar,vrvzcov
0.00015,0.00175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.0052499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.008749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.01225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.01575,22.0,0.002972108449313603,9.014556651461003e-9,0.7013231340606441,4.302303760272643,3.317017098094171,23.272614411506755,2.060527364055056
0.00015,0.01925,108.0,0.005821327108775967,5.351935755574891e-6,-0.7318610596857366,4.171386380070763,30.457104144938214,87.07288087796374,-14.564558253273718
0.00015,0.02275,176.0,0.005565026714421938,9.889450491950726e-6,-4.226177307791903,3.5816693842674523,72.90136202739497,113.5681933877835,-7.458862722001039
0.00015,0.02625,659.0,0.004769239128690721,2.288415608010818e-5,1.071379397524413,-0.29028978089245916,49.71396136021745,80.95416124811473,-9.742265065859169
0.00015,0.02975,2082.0,0.003234693905635776,1.7680233588512607e-5,0.7506389459651462,-1.6541996667351917,61.83777870705609,77.34701707724638,-4.118013061376206
0.00015,0.03325,62111.0,0.0002726990710924568,2.1412620322283042e-6,-0.07610835089241633,-5.097527103100738,13.097452206440828,70.44599636188374,0.30747277368311254
0.00015,0.03675,77035.0,0.00028783683450757044,2.134991071148072e-6,-0.009031406352342449,6.828163436653686,12.807695045911986,90.59280450386281,0.22711562440133293
0.00015,0.04025,6364.0,0.0037125791815894194,3.0391517397094116e-5,0.34382227361232715,4.987614970109365,49.97852348983211,97.90870037555074,1.4280780627355771
0.00015,0.04375,4300.0,0.004654475563847241,2.337183997779416e-5,-0.21720472236353325,4.378610618857281,55.89389226955495,97.90872373401314,-4.222186288636296
0.00015,0.04725,3362.0,0.006806795362758222,3.552154123634566e-5,-0.10027860439298604,3.8655770776710074,56.55700411083118,100.79139880618027,1.2526400716536252
0.00015,0.050749999999999997,4259.0,0.00861598417271246,5.157487372953677e-5,-0.22434735452467752,5.0804932369841564,53.324733050119974,117.91004886581015,-7.71287507968538
0.00015,0.05425,4658.0,0.010205283098822968,6.402044151246171e-5,-0.7485360636090536,5.706487059883992,59.18648692343742,99.96702388674339,-4.670752954939926
0.00015,0.057749999999999996,5891.0,0.010181809804221483,4.274564023127774e-5,0.1842175799171436,8.757023647685775,59.15336990321508,150.5102363397597,4.942767073805937
0.00015,0.06125,7370.0,0.01125633485885033,4.108507814194928e-5,0.05217238373244193,14.122189129755869,70.59757324956448,262.92224267222156,5.706763588543551
0.00015,0.06475,3330.0,0.011452472283322012,4.130888204819751e-5,-0.5257886390172831,21.959279281125642,125.88972818597922,577.1343819309004,-9.10096286868801
0.00015,0.06824999999999999,486.0,0.010730371781061213,2.7896487425180755e-5,-1.165560087042649,35.79627164900969,73.33860983624096,1420.3770750337944,-19.324344877725327
0.00015,0.07175,58.0,0.010996454078364946,5.0375001962325164e-5,0.5562204962686638,44.216896228909974,30.707031756441584,2079.716012339049,-0.4491944259611922
0.00015,0.07525,13.0,0.018052641561600233,0.00012684811843215394,1.0801535912952889,38.9436345248472,16.00955180954685,1703.5441713573557,41.433253335914785
0.00015,0.07875,4.0,0.015662809176163958,4.050495572408001e-5,3.271018171557352,43.19603233605085,21.937039664989037,1957.8197815235796,164.35364658295117
0.00015,0.08225,2.0,0.015883600978605528,0.00011111834453109007,-0.3056888167206582,49.6746993235099,1.097352499751643,2809.4260020682996,3.3402747272070386
0.00015,0.08574999999999999,1.0,0.012048405599714554,0.0,-1.912093453289085,34.48620062587229,3.6561013741109782,1189.2980336079145,-65.94083844554436
0.00015,0.08925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.09275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.09625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.09974999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.10325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.10675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.11025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.11374999999999999,1.0,0.02018607046013313,0.0,-1.4121398454098113,50.63895399843724,1.9941389429940457,2564.303662055843,-71.5092846710677
0.00015,0.11725,1.0,0.02028712105612899,0.0,-1.4331501128193842,52.51129115974157,2.0539192458742135,2757.435699263153,-75.25656284987517
0.00015,0.12075,1.0,0.009332675763929762,0.0,0.6859528692723114,68.36510980494955,0.4705313388629167,4673.78823864281,46.895243228821776
0.00015,0.12425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.12775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.13125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
