r,z,n,t,tvar,vr,vz,vrvar,vzvar,vrvzcov
0.00015,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.005399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.010199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.011399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.0162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.0174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.0186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.019799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.020999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.022199999999999998,6.0,0.001590113938731417,1.430385274847781e-11,8.74441528387928,0.8096371922657718,85.61374048892452,6.954693139683749,12.202253007564476
0.00015,0.0234,23.0,0.0018669983491351667,6.01275424129747e-8,2.5898368472841224,-0.23950840638147852,33.15856630828136,28.090875035703345,-1.7474322433414589
0.00015,0.0246,16.0,0.0023139948693272796,3.680750730514718e-7,0.3567502685110302,-7.652117098254751,95.75616174138628,100.96259683118765,-26.762867193389653
0.00015,0.0258,37.0,0.0016353303586359152,3.510873243682031e-7,3.677805828738461,-10.467208298728265,74.58301937220324,275.9473540034026,-62.87287736133641
0.00015,0.027,40.0,0.0019023320933586278,3.6604666965494675e-7,-6.786549923342972,-2.907080666248167,107.81764764541231,342.4936238672985,59.49207453578853
0.00015,0.0282,61.0,0.001420528747478147,3.638997059550289e-7,2.4971604996683645,-6.166547884346845,91.65872666966915,264.63431540750963,-30.002463456411043
0.00015,0.0294,126.0,0.0018351119166857964,7.512501797225836e-7,4.802810630252305,-10.309153444321819,94.11514251774878,259.5961971203673,-40.99601479169136
0.00015,0.0306,204.0,0.0018447675079671059,5.792024087537487e-7,-0.1102753003320851,-9.310684879414383,78.96108085061545,205.32285874490114,-16.316011229559216
0.00015,0.0318,254.0,0.0016803923047894432,8.354641322942813e-7,1.5652078873910185,-8.64188609570134,72.14619940573603,202.33185098975133,-30.38104041630228
0.00015,0.033,325.0,0.0014863920482694733,3.763766564561537e-7,1.2213585702946912,-5.956652330872452,84.63074906460908,181.84540277673784,-18.899549268826295
0.00015,0.0342,252.0,0.00133405365583825,4.3422553350049767e-7,1.5135585407928533,-8.030193785321707,104.90398665853284,217.9002915900165,4.039540013225354
0.00015,0.0354,455.0,0.0012321417787197158,4.328463616322579e-7,-1.2302226945245913,-6.922447073546276,86.49298379069211,200.5540932527702,11.96122020963754
0.00015,0.0366,590.0,0.0013591001862136513,4.250848642495526e-7,0.5454763481944027,-6.3969417966874005,89.59793715638263,219.9669710580123,-4.16540290744071
0.00015,0.0378,730.0,0.001159172174421239,3.5916903152882404e-7,0.2914828193070716,-7.39075808679002,100.29668475737662,186.2600064163432,-14.884375392241651
0.00015,0.039,874.0,0.0010851646953189244,4.593100689315019e-7,-1.3121836887633893,-6.833350021866165,84.49942023757691,178.228295981692,4.684672065382519
0.00015,0.0402,1005.0,0.0011192537429071709,6.504897857640918e-7,0.0586645607948457,-7.254132862790597,98.92190819094955,207.56720633049815,0.8199432248711622
0.00015,0.0414,1410.0,0.0008449306468333574,3.261824341191889e-7,-0.5031614199302747,-7.740292376678994,82.84941305958061,203.1196673220773,0.8770345615629576
0.00015,0.0426,1974.0,0.0007963923613914683,3.90210716178331e-7,-0.32983634883410184,-5.7090460447756195,82.47841108175696,176.5426540126841,0.8574089063556578
0.00015,0.0438,2891.0,0.0005995270388253222,2.733905093452942e-7,-0.46403087191280395,-7.744471035004625,88.06894150887274,207.57815556594701,3.596948400403366
0.00015,0.045,5546.0,0.00043520547675315755,2.3559066519989542e-7,-0.21315063001615456,-7.147137878300342,86.66979565685533,174.21255118204544,-1.7998959618651273
0.00015,0.0462,9943.0,0.00033417456968257153,2.15807821852159e-7,0.40240076493871146,-4.8754534393457645,100.01271279271269,146.7489151724862,-0.34877650536735644
0.00015,0.0474,15654.0,0.0002585479787656812,1.5728858235634397e-7,-0.059625037253216516,-1.912385159121598,110.94815242752736,131.40813922974658,-0.1172552423043911
0.00015,0.0486,20162.0,0.00021052434108495416,1.2453554088608177e-7,-0.026925972493301892,-0.05266293200139339,108.71696019492313,127.59734755184861,0.4271993939368076
0.00015,0.0498,21068.0,0.0002021618566533446,1.0369524787213859e-7,0.19360229615325844,3.040783398879845,108.99341302203834,132.39340462204268,2.9411772286169717
0.00015,0.051,14923.0,0.00025830993063028705,1.3670683365998908e-7,0.1385233780342101,5.473488326257237,104.09789783073809,163.41713418686595,2.8833587985047764
0.00015,0.052199999999999996,9253.0,0.0003337730997590864,1.7606006743035048e-7,-0.3675567553375838,8.530090365127244,92.4327390105065,207.76524976809122,-5.033749454241517
0.00015,0.053399999999999996,5408.0,0.0005012438315918662,2.688577991454607e-7,0.17910105605266177,7.983114125276895,86.37768218901313,202.70388860526813,-1.852700007328012
0.00015,0.054599999999999996,3186.0,0.0006302931268207688,2.827808560642821e-7,0.10674678533350292,9.176249676954228,90.43802649408147,223.99502686992477,-1.4766855431516663
0.00015,0.055799999999999995,2028.0,0.0006759410661292627,2.663293856464151e-7,-0.08621714167101073,11.298624886394977,89.09262049531158,270.5588423715806,-3.868121851901194
0.00015,0.056999999999999995,1750.0,0.0008590600587138974,3.7386269212960876e-7,0.6175586092547258,10.241207986958576,89.56961402825338,245.62017230073062,2.532115171469402
0.00015,0.058199999999999995,1411.0,0.0009614476292719052,4.518312912134339e-7,0.5071111602821284,11.127839298250558,85.89049953750326,242.54264572515197,7.917300946930025
0.00015,0.059399999999999994,913.0,0.0009499311285690701,3.440199438906834e-7,0.078082586755476,13.676232971694697,86.1584873504446,306.8536948748559,-3.2688217158570962
0.00015,0.060599999999999994,692.0,0.000991883777795628,2.817291967881455e-7,-1.2651705677140286,12.387178085987633,106.27207312971423,292.1927808136394,-23.90517064603983
0.00015,0.061799999999999994,664.0,0.0011048150713955322,4.034499585502393e-7,1.3560418101598923,13.752279782566225,101.85373382507758,311.8560773623598,2.173141253089738
0.00015,0.063,526.0,0.0011853192417262117,4.903304047134575e-7,-1.812284028539431,18.73144188417871,104.10994131096916,468.52652657899813,-39.035099586685625
0.00015,0.0642,334.0,0.0012520631174724325,1.0821079367691751e-6,1.4770887075916805,26.269912018947977,102.66700876311594,813.7848453964656,42.89178647164645
0.00015,0.0654,225.0,0.0010354107239855899,2.3779529653101775e-7,-0.38121943307579187,30.223024997858037,72.25415350932849,986.2912330595793,-21.438007848977367
0.00015,0.06659999999999999,67.0,0.000998693103616651,3.0365123536374763e-7,1.0242769395532272,34.60471626992962,56.26781005404922,1275.4438912732576,47.15293043213686
0.00015,0.0678,35.0,0.0010013451268463488,8.179778097570997e-8,0.27252964148207715,34.94011439278596,58.96373705299129,1302.1697260602973,15.748303086311632
0.00015,0.06899999999999999,14.0,0.0008675120992984364,1.2827159272389938e-8,4.539754620432272,43.59718758053343,40.57821521161717,2014.8318721657633,157.49454391357483
0.00015,0.0702,7.0,0.0012564200000193778,6.968613490352841e-7,3.1895804136054515,48.50821275799051,20.676959738850115,2408.101603807637,138.91034213053416
0.00015,0.07139999999999999,4.0,0.0020377419912126333,5.850424735319578e-7,2.1753404166540324,24.77834166855139,27.529166879062277,673.6498800660465,82.81197966129375
0.00015,0.0726,1.0,0.0018425832890568605,0.0,3.166150576006472,33.861407198116154,10.024509469946114,1146.5948974366324,107.21031390470516
0.00015,0.07379999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
